"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "JavaScript", "CSS", "XML", "Docker", "YAML", "HTML", "comment", "blank", "total"
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\sellers\sellers.module.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\sellers\sellers.repository.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 109
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\sellers\sellers.service.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 155
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\utils\format-date.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\utils\format-date.utils.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\data.response.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 101
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\firebase-admin.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\main.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\test\app.e2e-spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\tsconfig.build.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\vercel.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 12, 11, 38
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\firebase.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 13
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\package.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 24, 1, 45
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 2, 9
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 4, 38
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\assets\icons\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\assets\styles\buyer.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\assets\styles\index.css", "CSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\assets\styles\styles.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\404\Page404.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 10, 51
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\404\Page404.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 5, 91
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\404\Unauthorized.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 17, 81
